БИН,НДС,ЗНМ,Чек,Наименование товара,Кол-во,Цена за единиц,Итого,Адрес,Время
080841000761,58001,SWK00034961,2331180266,"Натрия хлорид 0,9%, 200 мл, фл","2,000","154,00","308,00","г. Нур-султан,Казахстан, Мангилик Ел,19, нп-5",18.04.2019 11:13:58
080841000761,58001,SWK00034961,2331180266,"Борный спирт 3%, 20 мл, фл.","1,000","51,00","51,00","г. Нур-султан,Казахстан, Мангилик Ел,19, нп-5",18.04.2019 11:13:58
080841000761,58001,SWK00034961,2331180266,"Шприц 2 мл, 3-х комп. (Bioject)","2,000","16,00","32,00","г. Нур-султан,Казахстан, Мангилик Ел,19, нп-5",18.04.2019 11:13:58
080841000761,58001,SWK00034961,2331180266,Система для инфузии Vogt Medical,"2,000","60,00","120,00","г. Нур-султан,Казахстан, Мангилик Ел,19, нп-5",18.04.2019 11:13:58
080841000761,58001,SWK00034961,2331180266,Naturella прокладки Классик макси №8,"1,000","310,00","310,00","г. Нур-султан,Казахстан, Мангилик Ел,19, нп-5",18.04.2019 11:13:58
080841000761,58001,SWK00034961,2331180266,AURA Ватные диски №150,"1,000","461,00","461,00","г. Нур-султан,Казахстан, Мангилик Ел,19, нп-5",18.04.2019 11:13:58
080841000761,58001,SWK00034961,2331180266,Чистая линия скраб мягкий 50 мл,"1,000","381,00","381,00","г. Нур-султан,Казахстан, Мангилик Ел,19, нп-5",18.04.2019 11:13:58
080841000761,58001,SWK00034961,2331180266,Чистая линия  скраб очищающийабрикос 50 мл,"1,000","386,00","386,00","г. Нур-султан,Казахстан, Мангилик Ел,19, нп-5",18.04.2019 11:13:58
080841000761,58001,SWK00034961,2331180266,Чистая линия скраб мягкий 50 мл,"1,000","381,00","381,00","г. Нур-султан,Казахстан, Мангилик Ел,19, нп-5",18.04.2019 11:13:58
080841000761,58001,SWK00034961,2331180266,Carefree салфетки Алоэвоздухопроницаемые №20,"1,000","414,00","414,00","г. Нур-султан,Казахстан, Мангилик Ел,19, нп-5",18.04.2019 11:13:58
080841000761,58001,SWK00034961,2331180266,Pro Series Шампунь яркий цвет 500мл,"1,000","841,00","841,00","г. Нур-султан,Казахстан, Мангилик Ел,19, нп-5",18.04.2019 11:13:58
080841000761,58001,SWK00034961,2331180266,Pro Series бальзам-ополаскивательдля длител ухода за окрашеннымиволосами Яркий цвет 500мл,"1,000","841,00","841,00","г. Нур-султан,Казахстан, Мангилик Ел,19, нп-5",18.04.2019 11:13:58
080841000761,58001,SWK00034961,2331180266,Clear шампунь Актив спорт 2в1мужской  400 мл,"1,000","1 200,00","1 200,00","г. Нур-султан,Казахстан, Мангилик Ел,19, нп-5",18.04.2019 11:13:58
080841000761,58001,SWK00034961,2331180266,"Bio World (HYDRO THERAPY)Мицеллярная вода 5в1, 445мл","1,000","1 152,00","1 152,00","г. Нур-султан,Казахстан, Мангилик Ел,19, нп-5",18.04.2019 11:13:58
080841000761,58001,SWK00034961,2331180266,"Bio World (HYDRO THERAPY) Гель-муссдля умывания с гиалуроновойкислотой, 250мл","1,000","1 152,00","1 152,00","г. Нур-султан,Казахстан, Мангилик Ел,19, нп-5",18.04.2019 11:13:58
080841000761,58001,SWK00034961,2331180266,"[RX]-Натрия хлорид 0,9%, 100 мл, фл.","1,000","168,00","168,00","г. Нур-султан,Казахстан, Мангилик Ел,19, нп-5",18.04.2019 11:13:58
080841000761,58001,SWK00034961,2331180266,"[RX]-Дисоль р-р 400 мл, фл.","1,000","163,00","163,00","г. Нур-султан,Казахстан, Мангилик Ел,19, нп-5",18.04.2019 11:13:58
080841000761,58001,SWK00034961,2331180266,"Тагансорбент с иономи серебра №30,пор.","1,000","1 526,00","1 526,00","г. Нур-султан,Казахстан, Мангилик Ел,19, нп-5",18.04.2019 11:13:58
080841000761,58001,SWK00034961,2331180266,"[RX]-Церукал 2%, 2 мл, №10, амп.","2,000","396,00","792,00","г. Нур-султан,Казахстан, Мангилик Ел,19, нп-5",18.04.2019 11:13:58
080841000761,58001,SWK00034961,2331180266,"[RX]-Андазол 200 мг, №40, табл.","1,000","7 330,00","7 330,00","г. Нур-султан,Казахстан, Мангилик Ел,19, нп-5",18.04.2019 11:13:58
